date,volume,open,close,high,low,adjclose,T10Y2Y
4/18/2019,68708500,290.1000061,290.019989,290.3200073,288.6600037,290.019989,0.47
4/17/2019,58268300,291.3999939,289.4500122,291.4299927,288.9899902,289.4500122,0.48
4/16/2019,52153200,290.9500122,290.1600037,291.0100098,289.5,290.1600037,0.51
4/15/2019,49596700,290.2399902,289.9700012,290.3500061,289.0799866,289.9700012,0.54
4/12/2019,69727800,290,290.1600037,290.4700012,288.2600098,290.1600037,0.51
4/11/2019,55093100,288.8299866,288.2099915,288.8399963,287.5799866,288.2099915,0.5
4/10/2019,52601500,287.769989,288.2900085,288.3900146,287.3099976,288.2900085,0.45
4/9/2019,66142300,287.7200012,287.3099976,288.0799866,286.7000122,287.3099976,0.43
4/8/2019,53566300,288.1000061,288.7900085,288.9100037,287.3699951,288.7900085,0.43
4/5/2019,58621700,287.9200134,288.5700073,288.6300049,287.6000061,288.5700073,0.46
4/4/2019,48997500,286.7799988,287.1799927,287.4599915,286.0100098,287.1799927,0.46
4/3/2019,68243200,287.3200073,286.4200134,287.7600098,285.75,286.4200134,0.46
4/2/2019,40070400,286.0400085,285.9700012,286.230011,285.0899963,285.9700012,0.44
4/1/2019,77617900,284.7000122,285.8299866,286.1600037,284.3999939,285.8299866,0.45
3/29/2019,82186800,282.3900146,282.480011,282.8399963,281.1400146,282.480011,0.48
3/28/2019,56238500,280.3500061,280.7099915,281.2099915,279.0700073,280.7099915,0.47
3/27/2019,72224700,281.1099854,279.6499939,281.7600098,277.9299927,279.6499939,0.46
3/26/2019,68125900,280.9899902,281.1199951,282.1799927,279.5599976,281.1199951,0.47
3/25/2019,85575200,278.8699951,279.0400085,280.1900024,277.6400146,279.0400085,0.51
3/22/2019,122659300,283.2200012,279.25,283.7999878,279.1799927,279.25,0.54
3/21/2019,79550400,280.6400146,284.730011,285.1799927,280.5899963,284.730011,0.52
3/20/2019,84609200,282.1600037,281.5499878,283.5,280.3200073,281.5499878,0.49
3/19/2019,90268100,283.5100098,282.3999939,284.3599854,281.4100037,282.3999939,0.5
3/18/2019,62199800,281.5499878,282.3299866,282.6600037,281.2999878,282.3299866,0.48
3/15/2019,81309000,280.5400085,281.3099976,282.2099915,280.3299866,281.3099976,0.45
3/14/2019,67518400,281.3699951,281.1600037,281.8399963,280.6700134,279.927002,0.41
3/13/2019,80639200,280.480011,281.3399963,282.3800049,280.2999878,280.1062012,0.44
3/12/2019,79667500,279.0599976,279.4899902,280.0700073,278.8500061,278.2643127,0.45
3/11/2019,65098900,275.2600098,278.4400024,278.6199951,275.230011,277.2189331,0.49
3/8/2019,85795800,272.9400024,274.4599915,274.6499939,272.4200134,273.2563782,0.47
3/7/2019,94710600,276.8299866,275.0100098,276.9899902,274.0700073,273.8039856,0.48
3/6/2019,75039800,279.1499939,277.3299866,279.1600037,276.9700012,276.1137695,0.49
3/5/2019,59114600,279.5400085,279.019989,279.7600098,278.4100037,277.7963867,0.5
3/4/2019,106494600,281.6000061,279.3999939,281.8699951,276.8399963,278.1747131,0.53
3/1/2019,78880500,280.4400024,280.4200134,280.8800049,278.8200073,279.1902466,0.51
2/28/2019,69268300,278.9599915,278.6799927,279.4500122,278.3200073,277.4578552,0.51
2/27/2019,56921600,278.519989,279.2000122,279.5899963,277.480011,277.9756165,0.48
2/25/2019,69030700,280.730011,279.519989,281.3099976,279.4299927,278.2941895,0.47
2/22/2019,78114600,278.1099854,279.1400146,279.3599854,277.3999939,277.915863,0.49
2/21/2019,64214700,277.7000122,277.4200134,278.1000061,276.3500061,276.2033997,0.52
2/20/2019,76610800,277.8099976,278.4100037,278.9200134,277.25,277.1890564,0.52
2/19/2019,59120800,276.480011,277.8500061,278.5799866,276.4700012,276.6315308,0.54
2/15/2019,97088700,276.3599854,277.3699951,277.4100037,276.1300049,276.1536255,0.54
2/14/2019,83234400,273.7799988,274.3800049,275.6400146,272.8699951,273.1767273,0.58
2/13/2019,65277200,275.0299988,274.9899902,275.9299927,274.5599976,273.7840576,0.55
2/12/2019,72270200,272.4200134,274.1000061,274.519989,272.3399963,272.8979797,0.54
2/11/2019,68021400,271.2000122,270.6199951,271.4899902,270.0299988,269.4332275,0.54
2/8/2019,75788900,268.75,270.4700012,270.5799866,267.8299866,269.2838745,0.53
2/7/2019,95482000,270.9400024,270.1400146,271.5499878,268.2900085,268.9553528,0.55
2/6/2019,58347800,272.7900085,272.7399902,273.3399963,271.9200134,271.5439148,0.58
2/5/2019,79552800,272.4400024,273.1000061,273.4400024,271.8800049,271.9023438,0.6
2/4/2019,60744800,270.1099854,271.9599915,272.0299988,269.3599854,270.767334,0.63
2/1/2019,85782500,270.1499939,270.0599976,271.2000122,269.1799927,268.8756714,0.61
1/31/2019,104012100,267.5100098,269.9299927,270.4700012,267.269989,268.7462463,0.64
1/30/2019,92473700,265.1000061,267.5799866,268.519989,264.25,266.4065247,0.63
1/29/2019,66136300,263.9200134,263.4100037,264.5499878,262.480011,262.2548523,0.64
1/28/2019,85613700,263.3900146,263.7600098,263.8299866,261.7900085,262.603302,0.61
1/25/2019,96883400,265.6099854,265.7799988,266.7000122,263.6600037,264.6144409,0.59
1/24/2019,59204100,263.2099915,263.5499878,264.2000122,262.0799866,262.3942261,0.62
1/23/2019,86030300,264.0100098,263.4100037,264.7900085,260.6600037,262.2548523,0.63
1/22/2019,115531200,264.8200073,262.8599854,265.0599976,261.0599976,261.7072449,0.64
1/18/2019,127900300,264.980011,266.4599915,266.980011,263,265.2914429,0.63
1/17/2019,96118400,260.0100098,262.9599915,263.9200134,259.9599915,261.8067932,0.67
1/16/2019,77636700,260.8299866,260.980011,261.9700012,260.6000061,259.8355103,0.68
1/15/2019,85208300,257.8200073,260.3500061,260.7000122,257.8099976,259.208252,0.63
1/11/2019,73858100,257.6799927,258.980011,259.0100098,257.0299988,257.8442688,0.66
1/10/2019,96823900,256.2600098,258.8800049,259.1600037,255.5,257.7447205,0.71
1/9/2019,95006600,257.5599976,257.9700012,258.9100037,256.1900024,256.8386841,0.74
1/8/2019,102512600,256.8200073,256.769989,257.3099976,254,255.6439514,0.73
1/7/2019,103139100,252.6900024,254.3800049,255.9499969,251.6900024,253.2644501,0.77
1/4/2019,142628800,247.5899963,252.3899994,253.1100006,247.1699982,251.2831726,0.78
1/3/2019,143813100,248.2299957,244.2100067,248.5700073,243.6699982,243.1390381,0.72
1/2/2019,126925200,245.9799957,250.1799927,251.2100067,245.9499969,249.0828552,0.69
12/31/2018,144299400,249.5599976,249.9199982,250.1900024,247.4700012,248.8239899,0.69
12/28/2018,153100200,249.5800018,247.75,251.3999939,246.4499969,246.6635132,0.69
12/27/2018,186267300,242.5700073,248.0700073,248.2899933,238.9600067,246.9821167,0.69
12/26/2018,218485400,235.9700012,246.1799927,246.1799927,233.7599945,245.1003876,0.62
12/24/2018,147311600,239.0399933,234.3399963,240.8399963,234.2700043,233.3123169,0.58
12/21/2018,255345600,246.7400055,240.6999969,249.7100067,239.9799957,239.6444244,0.6
12/20/2018,252053400,249.8600006,247.1699982,251.6199951,244.6499939,244.6573486,0.59
12/19/2018,214992800,255.1699982,251.2599945,259.3999939,249.3500061,248.7057648,0.53
12/18/2018,134515100,257.2000122,255.0800018,257.9500122,253.2799988,252.4869385,0.55
12/17/2018,165492300,259.3999939,255.3600006,260.6499939,253.5299988,252.7640991,0.57
12/14/2018,116961100,262.9599915,260.4700012,264.0299988,259.8500061,257.8221436,0.57
12/13/2018,96662700,266.519989,265.3699951,267.4899902,264.1199951,262.6723022,0.58
12/12/2018,97976700,267.4700012,265.4599915,269,265.3699951,262.7614136,0.58
12/11/2018,121504400,267.6600037,264.1300049,267.8699951,262.480011,261.4449463,0.57
12/10/2018,151445900,263.3699951,264.0700073,265.1600037,258.6199951,261.3855591,0.52
12/7/2018,161018900,269.4599915,263.5700073,271.2200012,262.6300049,260.8906555,0.51
12/4/2018,177986000,278.3699951,270.25,278.8500061,269.8999939,267.5027161,0.56
12/3/2018,103176300,280.2799988,279.2999878,280.3999939,277.5100098,276.4606934,0.56
11/30/2018,98204200,273.8099976,275.6499939,276.2799988,273.4500122,272.8478394,0.57
11/29/2018,82346400,273.7099915,273.980011,275.5499878,272.4299927,271.1947937,0.57
11/28/2018,127629600,269.6000061,274.5799866,274.5799866,268.3299866,271.7886963,0.53
11/27/2018,75502400,266.3399963,268.3999939,268.3999939,265.6600037,265.6715393,0.51
11/26/2018,79981400,265.7799988,267.5,267.75,265.3399963,264.7806702,0.5
11/23/2018,42807900,263.1799927,263.25,264.8200073,263.0700073,260.5738831,0.5
11/21/2018,75563700,265.8599854,265.019989,267.1499939,265.0100098,262.3258667,0.54
